Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP01603,Female,Yes,3+,Graduate,Yes,150888,85630,4661995,180,1,Urban,Y
LP01965,Female,Yes,1,Graduate,No,205810,72123,3862478,300,1,Rural,Y
LP01198,Male,Yes,0,Not Graduate,No,447585,58612,1362144,240,1,Semiurban,Y
LP00234,Male,Yes,1,Graduate,Yes,87472,193171,3389092,300,1,Urban,Y
LP00599,Female,Yes,2,Graduate,No,80514,118151,2712894,240,0,Urban,N
LP01146,Female,No,2,Graduate,Yes,86710,53241,79501,360,1,Rural,Y
LP00435,Female,Yes,0,Not Graduate,No,133706,63823,4001608,300,0,Rural,N
LP00864,Male,No,0,Not Graduate,No,435519,170281,2690253,360,0,Rural,N
LP00241,Female,No,3+,Not Graduate,Yes,35309,85100,617826,360,1,Rural,Y
LP01306,Male,Yes,2,Graduate,Yes,171002,131713,4835422,120,0,Urban,N
LP00760,Female,Yes,0,Not Graduate,No,477029,97961,4605230,120,1,Urban,Y
LP01903,Female,No,3+,Graduate,Yes,399746,50305,4346501,120,1,Semiurban,Y
LP00408,Male,Yes,1,Not Graduate,Yes,443000,149,223495,240,1,Urban,Y
LP00013,Male,Yes,1,Graduate,Yes,37741,113303,949307,120,1,Urban,Y
LP00162,Female,No,1,Not Graduate,No,310738,129423,1380269,240,1,Urban,Y
LP00647,Male,Yes,2,Graduate,No,201375,15056,2427959,300,0,Rural,N
LP00367,Male,Yes,0,Graduate,Yes,123228,46960,1504377,300,1,Rural,Y
LP00426,Male,No,1,Not Graduate,Yes,422537,11279,4092799,360,1,Rural,Y
LP00296,Female,Yes,0,Graduate,Yes,238378,127170,2229465,180,0,Rural,N
LP00334,Female,No,2,Not Graduate,No,114537,78902,4920122,180,1,Urban,N
LP01876,Male,No,2,Graduate,No,58703,66849,874073,240,1,Semiurban,Y
LP00149,Female,Yes,3+,Not Graduate,No,222114,89177,2385500,360,1,Urban,Y
LP00145,Male,No,3+,Not Graduate,Yes,368066,48673,864416,300,0,Rural,N
LP01902,Female,Yes,2,Not Graduate,Yes,133824,20548,4544359,300,1,Semiurban,N
LP00182,Male,Yes,2,Not Graduate,No,46951,89141,3555613,240,1,Urban,N
LP01927,Female,Yes,3+,Graduate,Yes,378603,74644,1916446,120,0,Semiurban,N
LP01412,Female,Yes,1,Graduate,Yes,82916,4015,2053327,120,0,Rural,N
LP01931,Female,Yes,2,Not Graduate,No,201054,93576,395831,300,0,Semiurban,N
LP01425,Male,Yes,1,Graduate,Yes,172834,149790,2589936,300,1,Rural,Y
LP00173,Female,No,0,Graduate,No,82449,98940,1440908,180,0,Rural,N
LP00075,Male,No,2,Not Graduate,No,391511,40465,797656,300,1,Urban,Y
LP00370,Female,Yes,3+,Graduate,No,106410,176729,2439792,240,0,Urban,N
LP00603,Male,No,3+,Graduate,No,326080,195693,712475,240,1,Urban,Y
LP01344,Female,No,2,Not Graduate,No,170796,126225,4805083,180,0,Rural,N
LP01748,Male,No,3+,Graduate,Yes,105763,167298,4995929,360,0,Semiurban,N
LP00951,Male,No,3+,Graduate,Yes,98808,27246,1481462,360,0,Rural,N
LP00863,Female,Yes,1,Graduate,Yes,403781,147227,1160456,120,0,Urban,N
